primary_key,企业名称,证书编号,认定时间,有效期
28,上海盖泽激光科技有限公司,GR202131000029,2021/9/24 0:00,三年
29,龙工（上海）机械制造有限公司,GR202131000030,2021/9/24 0:00,三年
30,上海元卓信息科技有限公司,GR202131000031,2021/9/24 0:00,三年
31,斯特凯新材料（上海）有限公司,GR202131000032,2021/9/24 0:00,三年
32,上海爱立峰医疗科技有限公司,GR202131000033,2021/9/24 0:00,三年
33,上海象田网络科技有限公司,GR202131000034,2021/9/24 0:00,三年
34,三块三信息科技（上海）有限公司,GR202131000035,2021/9/24 0:00,三年
35,上海方科汽车部件有限公司,GR202131000036,2021/9/24 0:00,三年
36,上海帕圣制药设备有限公司,GR202131000037,2021/9/24 0:00,三年
37,平田机工自动化设备（上海）有限公司,GR202131000038,2021/9/24 0:00,三年
38,意数信息技术（上海）有限公司,GR202131000039,2021/9/24 0:00,三年
39,医泰生物医药（上海）有限公司,GR202131000040,2021/9/24 0:00,三年
40,上海镭天激光设备有限公司,GR202131000041,2021/9/24 0:00,三年
41,上海沃兹金田锯业有限公司,GR202131000042,2021/9/24 0:00,三年
42,上海亚力机械科技有限公司,GR202131000043,2021/9/24 0:00,三年
43,上海寻汇信息科技有限公司,GR202131000044,2021/9/24 0:00,三年
44,上海炫众信息科技有限公司,GR202131000045,2021/9/24 0:00,三年
45,上海长伟锦磁工程塑料有限公司,GR202131000046,2021/9/24 0:00,三年
46,上海市浦东新区建设（集团）有限公司,GR202131000047,2021/9/24 0:00,三年
47,上海昊博影像科技有限公司,GR202131000048,2021/9/24 0:00,三年
48,维霖通（上海）通信技术有限公司,GR202131000049,2021/9/24 0:00,三年
49,上海洲泰轻工机械制造有限公司,GR202131000050,2021/9/24 0:00,三年
50,上海奉天电子股份有限公司,GR202131000051,2021/9/24 0:00,三年
51,上海英立视数字科技有限公司,GR202131000052,2021/9/24 0:00,三年
52,上海砼科科技有限公司,GR202131000053,2021/9/24 0:00,三年
53,上海复绿环境科技有限公司,GR202131000054,2021/9/24 0:00,三年
54,上海百秋新网商数字科技有限公司,GR202131000055,2021/9/24 0:00,三年
55,上海卯月科技有限公司,GR202131000056,2021/9/24 0:00,三年
56,上海卡丘信息技术有限公司,GR202131000057,2021/9/24 0:00,三年
57,上海远通路桥工程有限公司,GR202131000058,2021/9/24 0:00,三年
58,西辞工业技术（上海）有限公司,GR202131000059,2021/9/24 0:00,三年
59,有课互联（上海）科技有限公司,GR202131000060,2021/9/24 0:00,三年
60,上海开普天岩土科技集团有限公司,GR202131000061,2021/9/24 0:00,三年
61,上海寻正智能科技有限公司,GR202131000062,2021/9/24 0:00,三年
62,上海绘派教育科技有限公司,GR202131000063,2021/9/24 0:00,三年
63,上海梵淅科技有限公司,GR202131000064,2021/9/24 0:00,三年
64,上海加力气体有限公司,GR202131000065,2021/9/24 0:00,三年
65,上海艾栎尔智能科技有限公司,GR202131000066,2021/9/24 0:00,三年
66,上海鑫亘环保科技有限公司,GR202131000067,2021/9/24 0:00,三年
67,上海双木散热器制造有限公司,GR202131000068,2021/9/24 0:00,三年
68,上海纸语信息科技有限责任公司,GR202131000069,2021/9/24 0:00,三年
69,上海岚誉智能化科技有限公司,GR202131000070,2021/9/24 0:00,三年
70,科棣姆（上海）电源科技有限公司,GR202131000071,2021/9/24 0:00,三年
71,上海山南勘测设计有限公司,GR202131000072,2021/9/24 0:00,三年
72,上海同及宝建设机器人有限公司,GR202131000073,2021/9/24 0:00,三年
73,上海微符尔半导体有限公司,GR202131000074,2021/9/24 0:00,三年
74,上海岱鼎工业设备有限公司,GR202131000075,2021/9/24 0:00,三年
75,上海肖可雷电子科技有限公司,GR202131000076,2021/9/24 0:00,三年
76,雅克菲（上海）热能设备有限公司,GR202131000077,2021/9/24 0:00,三年
77,上海百业安安全装备科技股份有限公司,GR202131000078,2021/9/24 0:00,三年
78,凡悦科技（上海）有限公司,GR202131000079,2021/9/24 0:00,三年
79,上海启道软件股份有限公司,GR202131000080,2021/9/24 0:00,三年
80,上海爱富爱克斯网络科技发展有限责任公司,GR202131000081,2021/9/24 0:00,三年
81,上海能耀新能源科技有限公司,GR202131000082,2021/9/24 0:00,三年
82,上海凯奔航空技术有限公司,GR202131000083,2021/9/24 0:00,三年
83,上海荷耳班提教育科技有限公司,GR202131000084,2021/9/24 0:00,三年
84,啊哎（上海）科技有限公司,GR202131000085,2021/9/24 0:00,三年
85,微珂医药技术服务（上海）有限公司,GR202131000086,2021/9/24 0:00,三年
86,上海沁聚环保设备有限公司,GR202131000087,2021/9/24 0:00,三年
87,上海力太化学有限公司,GR202131000088,2021/9/24 0:00,三年
88,安硕文教用品（上海）股份有限公司,GR202131000089,2021/9/24 0:00,三年
89,上海光古电子有限公司,GR202131000090,2021/9/24 0:00,三年
90,上海华镇电子科技有限公司,GR202131000091,2021/9/24 0:00,三年
91,上海假面信息科技有限公司,GR202131000092,2021/9/24 0:00,三年
92,上海原构设计咨询有限公司,GR202131000093,2021/9/24 0:00,三年
93,上海良仁化工有限公司,GR202131000094,2021/9/24 0:00,三年
94,上海不工软件有限公司,GR202131000095,2021/9/24 0:00,三年
95,矽涧精密工业（上海）有限公司,GR202131000096,2021/9/24 0:00,三年
96,上海吉实信息技术有限公司,GR202131000097,2021/9/24 0:00,三年
97,上海欣科医药有限公司,GR202131000098,2021/9/24 0:00,三年
98,上海朝辉压力仪器有限公司,GR202131000099,2021/9/24 0:00,三年
99,上海绘迪机电科技有限公司,GR202131000100,2021/9/24 0:00,三年
100,台源（上海）能源科技有限公司,GR202131000101,2021/9/24 0:00,三年
101,小佩网络科技（上海）有限公司,GR202131000102,2021/9/24 0:00,三年
102,上海盛谷光电科技有限公司,GR202131000103,2021/9/24 0:00,三年
103,上海商科焊接设备有限公司,GR202131000104,2021/9/24 0:00,三年
104,上海格涯许信息科技有限公司,GR202131000105,2021/9/24 0:00,三年
105,上海联和科海材料科技有限公司,GR202131000106,2021/9/24 0:00,三年
106,上海恬简工业设计有限公司,GR202131000107,2021/9/24 0:00,三年
107,上海宜运电脑科技有限公司,GR202131000108,2021/9/24 0:00,三年
108,上海蔚赫信息科技有限公司,GR202131000109,2021/9/24 0:00,三年
109,建贤思齐智能科技（上海）有限公司,GR202131000110,2021/9/24 0:00,三年
110,上海恩睦信息科技有限公司,GR202131000111,2021/9/24 0:00,三年
111,上海柘中平云电器设备制造有限公司,GR202131000112,2021/9/24 0:00,三年
112,上海百了信息科技有限公司,GR202131000113,2021/9/24 0:00,三年
113,金恪建筑装饰工程有限公司,GR202131000114,2021/9/24 0:00,三年
114,上海轲舜机电设备有限公司,GR202131000115,2021/9/24 0:00,三年
115,上海黔链科技有限公司,GR202131000116,2021/9/24 0:00,三年
116,上海浦卓网络科技有限公司,GR202131000117,2021/9/24 0:00,三年
117,上海东方申信科技发展有限公司,GR202131000118,2021/9/24 0:00,三年
118,上海富山精密机械科技有限公司,GR202131000119,2021/9/24 0:00,三年
119,上海铭致展览道具制作有限公司,GR202131000120,2021/9/24 0:00,三年
120,上海理鑫光学科技有限公司,GR202131000121,2021/9/24 0:00,三年
121,阿尔法迈士医疗科技（上海）有限公司,GR202131000122,2021/9/24 0:00,三年
122,上海寻湃网络科技有限公司,GR202131000123,2021/9/24 0:00,三年
123,上海科胜净化科技有限公司,GR202131000124,2021/9/24 0:00,三年
124,蓝想大数据科技（上海）有限公司,GR202131000125,2021/9/24 0:00,三年
125,上海三申医疗器械有限公司,GR202131000126,2021/9/24 0:00,三年
126,上海弘凯遮阳材料有限公司,GR202131000127,2021/9/24 0:00,三年
127,上海正尔智能科技股份有限公司,GR202131000128,2021/9/24 0:00,三年
128,上海唯析信息科技有限公司,GR202131000129,2021/9/24 0:00,三年
129,上海合福信息科技有限公司,GR202131000130,2021/9/24 0:00,三年
130,上海物联网有限公司,GR202131000131,2021/9/24 0:00,三年
131,上海摩联信息技术有限公司,GR202131000132,2021/9/24 0:00,三年
132,上海踏瑞计算机软件有限公司,GR202131000133,2021/9/24 0:00,三年
133,上海纽安数据服务有限公司,GR202131000134,2021/9/24 0:00,三年
134,三信国际电器上海有限公司,GR202131000135,2021/9/24 0:00,三年
135,上海海阳气象导航技术有限公司,GR202131000136,2021/9/24 0:00,三年
136,雷舒照明科技（上海）有限公司,GR202131000137,2021/9/24 0:00,三年
137,上海杉杉科技有限公司,GR202131000138,2021/9/24 0:00,三年
138,拾音汽车科技（上海）有限公司,GR202131000139,2021/9/24 0:00,三年
139,上海昂赢测试系统有限公司,GR202131000140,2021/9/24 0:00,三年
140,上海大松瓦楞辊有限公司,GR202131000141,2021/9/24 0:00,三年
141,育晟湾（上海）科技有限公司,GR202131000142,2021/9/24 0:00,三年
142,上海瀚世信息技术有限公司,GR202131000143,2021/9/24 0:00,三年
143,上海中翊日化有限公司,GR202131000144,2021/9/24 0:00,三年
144,上海本裕自动化设备有限公司,GR202131000145,2021/9/24 0:00,三年
145,上海廷本流体控制有限公司,GR202131000146,2021/9/24 0:00,三年
146,上海冉青信息技术有限公司,GR202131000147,2021/9/24 0:00,三年
147,算话智能科技有限公司,GR202131000148,2021/9/24 0:00,三年
148,上海卓顾信息科技有限公司,GR202131000149,2021/9/24 0:00,三年
149,上海天昊信息技术有限公司,GR202131000150,2021/9/24 0:00,三年
150,上海悠翔信息技术有限公司,GR202131000151,2021/9/24 0:00,三年
151,上海锐明轨交设备有限公司,GR202131000152,2021/9/24 0:00,三年
152,上海美橙科技信息发展有限公司,GR202131000153,2021/9/24 0:00,三年
153,上海俪娃荷智能医疗科技有限公司,GR202131000154,2021/9/24 0:00,三年
154,上海简苏网络科技有限公司,GR202131000155,2021/9/24 0:00,三年
155,藤泽电工（上海）有限公司,GR202131000156,2021/9/24 0:00,三年
156,上海众毅工业控制技术有限公司,GR202131000157,2021/9/24 0:00,三年
157,上海澳羽机电环保设备有限公司,GR202131000158,2021/10/9 0:00,三年
158,上海敬之网络科技有限公司,GR202131000159,2021/10/9 0:00,三年
159,上海博唯生物科技有限公司,GR202131000160,2021/10/9 0:00,三年
160,上海赞迪网络科技有限公司,GR202131000161,2021/10/9 0:00,三年
161,上海和村阀门有限公司,GR202131000162,2021/10/9 0:00,三年
162,上海泽平机械设备有限公司,GR202131000163,2021/10/9 0:00,三年
163,上海蛮酷科技有限公司,GR202131000164,2021/10/9 0:00,三年
164,核电运行研究（上海）有限公司,GR202131000165,2021/10/9 0:00,三年
165,上海德拉根印刷机械有限公司,GR202131000167,2021/10/9 0:00,三年
166,上海法贞通信科技有限公司,GR202131000168,2021/10/9 0:00,三年
167,上海曹杨建筑粘合剂厂,GR202131000169,2021/10/9 0:00,三年
168,上海赛墨环保设备有限公司,GR202131000170,2021/10/9 0:00,三年
169,上海禾通涌源停车设备有限公司,GR202131000171,2021/10/9 0:00,三年
170,上海邦思健康科技有限公司,GR202131000172,2021/10/9 0:00,三年
171,法尔森科技（上海）有限公司,GR202131000173,2021/10/9 0:00,三年
172,百腾发（上海）通讯有限公司,GR202131000174,2021/10/9 0:00,三年
173,上海壹柯环境科技有限公司,GR202131000175,2021/10/9 0:00,三年
174,欧泰普（上海）科技有限公司,GR202131000176,2021/10/9 0:00,三年
175,上海泓笛数据科技有限公司,GR202131000177,2021/10/9 0:00,三年
176,上海凌泽信息科技有限公司,GR202131000178,2021/10/9 0:00,三年
177,上海浦帮机电制造有限公司,GR202131000179,2021/10/9 0:00,三年
178,浦塔环保科技（上海）有限公司,GR202131000180,2021/10/9 0:00,三年
179,上海昊霖智能科技有限公司,GR202131000182,2021/10/9 0:00,三年
180,上海驰骛信息科技有限公司,GR202131000183,2021/10/9 0:00,三年
181,上海索今轨道交通设备有限公司,GR202131000184,2021/10/9 0:00,三年
182,上海煜工环保科技有限公司,GR202131000185,2021/10/9 0:00,三年
183,上海万联信息科技有限公司,GR202131000186,2021/10/9 0:00,三年
184,上海心仪电子科技有限公司,GR202131000187,2021/10/9 0:00,三年
185,左尚明舍家居用品（上海）有限公司,GR202131000188,2021/10/9 0:00,三年
186,上海久是信息科技发展有限公司,GR202131000189,2021/10/9 0:00,三年
187,上海涵点科技有限公司,GR202131000190,2021/10/9 0:00,三年
188,上海泰宇信息技术股份有限公司,GR202131000191,2021/10/9 0:00,三年
189,上海天祥质量技术服务有限公司,GR202131000192,2021/10/9 0:00,三年
190,康思立达（上海）汽车科技有限公司,GR202131000193,2021/10/9 0:00,三年
191,上海珈凯生物科技有限公司,GR202131000194,2021/10/9 0:00,三年
192,国网上海能源互联网研究院有限公司,GR202131000195,2021/10/9 0:00,三年
193,上海紫燕合金应用科技有限公司,GR202131000196,2021/10/9 0:00,三年
194,上海菱沃铂智能技术有限公司,GR202131000197,2021/10/9 0:00,三年
195,立邦工业涂料（上海）有限公司,GR202131000198,2021/10/9 0:00,三年
196,上海翰晖新材料有限公司,GR202131000199,2021/10/9 0:00,三年
197,上海太炎信息科技有限公司,GR202131000200,2021/10/9 0:00,三年
198,上海鼎羿流体技术有限公司,GR202131000201,2021/10/9 0:00,三年
199,上海平信机电制造有限公司,GR202131000202,2021/10/9 0:00,三年
200,上海沐恒实业有限公司,GR202131000203,2021/10/9 0:00,三年
201,上海秦森园林股份有限公司,GR202131000204,2021/10/9 0:00,三年
202,上海柏润软件有限公司,GR202131000205,2021/10/9 0:00,三年
203,上海昕讯微波科技有限公司,GR202131000206,2021/10/9 0:00,三年
204,上海美钦数字科技有限公司,GR202131000207,2021/10/9 0:00,三年
205,上海鹰觉科技有限公司,GR202131000208,2021/10/9 0:00,三年
206,上海上创超导科技有限公司,GR202131000209,2021/10/9 0:00,三年
207,上海枭腾纺织科技有限公司,GR202131000210,2021/10/9 0:00,三年
208,上海爱浩电器有限公司,GR202131000211,2021/10/9 0:00,三年
209,上海世祎信息科技有限公司,GR202131000212,2021/10/9 0:00,三年
210,永星化工（上海）有限公司,GR202131000213,2021/10/9 0:00,三年
211,上海昌鹭智能技术有限公司,GR202131000214,2021/10/9 0:00,三年
212,上海氢枫能源技术有限公司,GR202131000215,2021/10/9 0:00,三年
213,上海邦成生物工程有限公司,GR202131000216,2021/10/9 0:00,三年
214,上海尧信惠达信息科技有限公司,GR202131000217,2021/10/9 0:00,三年
215,上海欧切斯实业有限公司,GR202131000218,2021/10/9 0:00,三年
216,方是云（上海）技术有限公司,GR202131000219,2021/10/9 0:00,三年
217,上海艾因思萌信息科技有限公司,GR202131000220,2021/10/9 0:00,三年
218,上海艺馨信息科技有限公司,GR202131000221,2021/10/9 0:00,三年
219,国起城市规划（上海）有限公司,GR202131000222,2021/10/9 0:00,三年
220,一扫清（上海）环境科技有限公司,GR202131000223,2021/10/9 0:00,三年
221,上海化学工业区公共管廊有限公司,GR202131000224,2021/10/9 0:00,三年
222,上海盾米电子科技有限公司,GR202131000225,2021/10/9 0:00,三年
223,上海领潮生物新材料有限公司,GR202131000226,2021/10/9 0:00,三年
224,上海安文桥梁检测技术有限公司,GR202131000227,2021/10/9 0:00,三年
225,上海鹄鸫重工股份有限公司,GR202131000228,2021/10/9 0:00,三年
226,上海永锦电气技术股份有限公司,GR202131000229,2021/10/9 0:00,三年
227,上海蓝伯科电子科技有限公司,GR202131000230,2021/10/9 0:00,三年
228,蓝瓴信息科技（上海）有限公司,GR202131000231,2021/10/9 0:00,三年
229,景略半导体（上海）有限公司,GR202131000232,2021/10/9 0:00,三年
230,上海吴淞电气实业有限公司,GR202131000233,2021/10/9 0:00,三年
231,上海利物盛纳米科技有限公司,GR202131000234,2021/10/9 0:00,三年
232,上海吒吒新材料科技有限公司,GR202131000235,2021/10/9 0:00,三年
233,上海长岛生物技术有限公司,GR202131000236,2021/10/9 0:00,三年
234,上海灵测信息科技有限公司,GR202131000237,2021/10/9 0:00,三年
235,上海阿拉丁生化科技股份有限公司,GR202131000238,2021/10/9 0:00,三年
236,上海翼诚软件科技有限公司,GR202131000239,2021/10/9 0:00,三年
237,麦昂欧（上海）电子有限公司,GR202131000240,2021/10/9 0:00,三年
238,上海丹利生物科技有限公司,GR202131000241,2021/10/9 0:00,三年
239,上海汉华水处理工程有限公司,GR202131000242,2021/10/9 0:00,三年
240,上海协柯环保设备有限公司,GR202131000243,2021/10/9 0:00,三年
241,上海钊锐网络科技有限公司,GR202131000244,2021/10/9 0:00,三年
242,业超电气传动技术（上海）有限公司,GR202131000245,2021/10/9 0:00,三年
243,上海研上液压设备有限公司,GR202131000246,2021/10/9 0:00,三年
244,诺梵（上海）系统科技股份有限公司,GR202131000247,2021/10/9 0:00,三年
245,上海水源地建设发展有限公司,GR202131000248,2021/10/9 0:00,三年
246,上海衡元高分子材料股份有限公司,GR202131000249,2021/10/9 0:00,三年
247,上海家照网络科技有限公司,GR202131000250,2021/10/9 0:00,三年
248,上海宏银信息科技股份有限公司,GR202131000251,2021/10/9 0:00,三年
249,上海化工院检测有限公司,GR202131000252,2021/10/9 0:00,三年
250,上海智办物联网科技有限公司,GR202131000253,2021/10/9 0:00,三年
251,上海蒂森克虏伯汇众汽车零部件有限公司,GR202131000254,2021/10/9 0:00,三年
252,上海春申赛华智能科技有限公司,GR202131000255,2021/10/9 0:00,三年
253,上海铠盾科技有限公司,GR202131000256,2021/10/9 0:00,三年
254,蒂森克虏伯普利斯坦汽车零部件（上海）有限公司,GR202131000257,2021/10/9 0:00,三年
255,上海恒立信息科技有限公司,GR202131000258,2021/10/9 0:00,三年
256,上海众寻检测技术有限公司,GR202131000259,2021/10/9 0:00,三年
257,上海顶欣纸制品有限公司,GR202131000260,2021/10/9 0:00,三年
258,上海南丰装饰工程有限公司,GR202131000261,2021/10/9 0:00,三年
259,上海赋拓物联网技术有限公司,GR202131000262,2021/10/9 0:00,三年
260,上海钦典机械制造有限公司,GR202131000263,2021/10/9 0:00,三年
261,上海多融科技发展有限公司,GR202131000264,2021/10/9 0:00,三年
262,康存数据服务（上海）有限公司,GR202131000265,2021/10/9 0:00,三年
263,上海赋华网络科技有限公司,GR202131000266,2021/10/9 0:00,三年
264,上海图丽信息技术有限公司,GR202131000267,2021/10/9 0:00,三年
265,律晖智能科技（上海）有限公司,GR202131000268,2021/10/9 0:00,三年
266,上海寻付数字科技有限公司,GR202131000269,2021/10/9 0:00,三年
267,上海华明电力设备制造有限公司,GR202131000270,2021/10/9 0:00,三年
268,上海软强信息资讯有限公司,GR202131000271,2021/10/9 0:00,三年
269,铭沣工业自动化（上海）有限公司,GR202131000272,2021/10/9 0:00,三年
270,上海馨源新材料科技有限公司,GR202131000273,2021/10/9 0:00,三年
271,上海香传网络科技有限公司,GR202131000274,2021/10/9 0:00,三年
272,上海习荣电力设备有限公司,GR202131000275,2021/10/9 0:00,三年
273,上海徽源智能科技有限公司,GR202131000276,2021/10/9 0:00,三年
274,上海金友金弘智能电气股份有限公司,GR202131000277,2021/10/9 0:00,三年
275,吉满生物科技（上海）有限公司,GR202131000278,2021/10/9 0:00,三年
276,默利卡高分子材料（上海）有限公司,GR202131000279,2021/10/9 0:00,三年
277,五冶集团上海有限公司,GR202131000280,2021/10/9 0:00,三年
278,美登思电气（上海）有限公司,GR202131000281,2021/10/9 0:00,三年
279,上海星联智创智能科技股份有限公司,GR202131000282,2021/10/9 0:00,三年
280,上海电子废弃物交投中心有限公司,GR202131000283,2021/10/9 0:00,三年
281,上海沪光通讯设备有限公司,GR202131000284,2021/10/9 0:00,三年
282,上海固好包装机械有限公司,GR202131000285,2021/10/9 0:00,三年
283,上海云火环境科技有限公司,GR202131000286,2021/10/9 0:00,三年
284,上海奥威日化有限公司,GR202131000287,2021/10/9 0:00,三年
285,上海虎巴网络科技股份有限公司,GR202131000288,2021/10/9 0:00,三年
286,恒峰铭成生物科技（上海）有限公司,GR202131000289,2021/10/9 0:00,三年
287,上海智平基础工程有限公司,GR202131000290,2021/10/9 0:00,三年
288,胜达克半导体科技（上海）有限公司,GR202131000291,2021/10/9 0:00,三年
289,上海联紫能源科技有限公司,GR202131000292,2021/10/9 0:00,三年
290,福力德泰克（上海）泵业有限公司,GR202131000293,2021/10/9 0:00,三年
291,上海七通智能科技股份有限公司,GR202131000294,2021/10/9 0:00,三年
292,上海劲秉网络科技有限公司,GR202131000295,2021/10/9 0:00,三年
293,上海恩阶电子科技有限公司,GR202131000296,2021/10/9 0:00,三年
294,慧管（上海）信息科技有限公司,GR202131000297,2021/10/9 0:00,三年
295,上海雨浓医药科技有限公司,GR202131000298,2021/10/9 0:00,三年
296,上海境山科技有限公司,GR202131000299,2021/10/9 0:00,三年
297,麦梵革软件科技（上海）有限公司,GR202131000300,2021/10/9 0:00,三年
298,上海龙猛机械有限公司,GR202131000301,2021/10/9 0:00,三年
299,上海远颂汽车技术有限公司,GR202131000302,2021/10/9 0:00,三年
300,上海鸿翼软件技术股份有限公司,GR202131000303,2021/10/9 0:00,三年
301,上海弗鲁克科技发展有限公司,GR202131000304,2021/10/9 0:00,三年
302,上海有个机器人有限公司,GR202131000305,2021/10/9 0:00,三年
303,上海箱箱智能科技有限公司,GR202131000306,2021/10/9 0:00,三年
304,上海游效信息科技有限公司,GR202131000307,2021/10/9 0:00,三年
305,科丝美诗（中国）化妆品有限公司,GR202131000308,2021/10/9 0:00,三年
306,上海原科实业发展有限公司,GR202131000309,2021/10/9 0:00,三年
307,上海绿地建设设计研究院有限公司,GR202131000310,2021/10/9 0:00,三年
308,上海卓悠网络科技有限公司,GR202131000311,2021/10/9 0:00,三年
309,上海名流卫生用品股份有限公司,GR202131000312,2021/10/9 0:00,三年
310,薪得付信息技术（上海）有限公司,GR202131000313,2021/10/9 0:00,三年
311,上海隧道工程有限公司,GR202131000314,2021/10/9 0:00,三年
312,上海万巷制药有限公司,GR202131000315,2021/10/9 0:00,三年
313,上海灿实工程设备有限公司,GR202131000316,2021/10/9 0:00,三年
314,上海中金能源投资有限公司,GR202131000317,2021/10/9 0:00,三年
315,上海水星家用纺织品股份有限公司,GR202131000318,2021/10/9 0:00,三年
316,上海巍运信息科技有限公司,GR202131000319,2021/10/9 0:00,三年
317,上海兆邦电力器材有限公司,GR202131000320,2021/10/9 0:00,三年
318,上海万悠工业自动化设备有限公司,GR202131000321,2021/10/9 0:00,三年
319,上海言通网络科技有限公司,GR202131000322,2021/10/9 0:00,三年
320,上海长江唯诚科技股份有限公司,GR202131000323,2021/10/9 0:00,三年
321,中船海洋动力部件有限公司,GR202131000324,2021/10/9 0:00,三年
322,上海锐翊通讯科技有限公司,GR202131000325,2021/10/9 0:00,三年
323,上海普胜塑胶制品有限公司,GR202131000326,2021/10/9 0:00,三年
324,上海宝洲人工智能科技有限公司,GR202131000327,2021/10/9 0:00,三年
325,铃鹿复合建材（上海）有限公司,GR202131000328,2021/10/9 0:00,三年
326,上海伊控动力系统有限公司,GR202131000329,2021/10/9 0:00,三年
327,朗见智能科技（上海）有限公司,GR202131000330,2021/10/9 0:00,三年
328,上海良源包装科技有限公司,GR202131000331,2021/10/9 0:00,三年
329,上海众达汽车冲压件有限公司,GR202131000332,2021/10/9 0:00,三年
330,宝武水务科技有限公司,GR202131000333,2021/10/9 0:00,三年
331,上海申讯科创技术有限公司,GR202131000334,2021/10/9 0:00,三年
332,上海既源网络科技有限公司,GR202131000335,2021/10/9 0:00,三年
333,上海威正测试技术有限公司,GR202131000336,2021/10/9 0:00,三年
334,上海鹏川机电设备有限公司,GR202131000337,2021/10/9 0:00,三年
335,上海葵恩检测技术服务有限公司,GR202131000338,2021/10/9 0:00,三年
336,上海东洲通信系统工程有限公司,GR202131000339,2021/10/9 0:00,三年
337,中烜航空科技（上海）有限公司,GR202131000340,2021/10/9 0:00,三年
338,瑞德尔建筑科技（上海）有限公司,GR202131000341,2021/10/9 0:00,三年
339,上海臣轩机械有限公司,GR202131000342,2021/10/9 0:00,三年
340,上海勃池信息技术有限公司,GR202131000343,2021/10/9 0:00,三年
341,上海史密富智能装备股份有限公司,GR202131000344,2021/10/9 0:00,三年
342,上海莘阳新能源科技股份有限公司,GR202131000345,2021/10/9 0:00,三年
343,上海天赐北斗通信科技有限公司,GR202131000346,2021/10/9 0:00,三年
344,上海雅升汽车制造有限公司,GR202131000347,2021/10/9 0:00,三年
345,上海左岸芯慧电子科技有限公司,GR202131000348,2021/10/9 0:00,三年
346,上海梦源化妆品有限公司,GR202131000349,2021/10/9 0:00,三年
347,上海星杰装饰有限公司,GR202131000350,2021/10/9 0:00,三年
348,上海万润达机电科技发展有限公司,GR202131000351,2021/10/9 0:00,三年
349,上海山骋勘察设计有限公司,GR202131000352,2021/10/9 0:00,三年
350,上海耀和信息科技有限公司,GR202131000353,2021/10/9 0:00,三年
351,上海科迎法电气科技有限公司,GR202131000354,2021/10/9 0:00,三年
352,上海灵博智能科技有限公司,GR202131000355,2021/10/9 0:00,三年
353,上海莘临科技发展有限公司,GR202131000356,2021/10/9 0:00,三年
354,上海水仪科技有限公司,GR202131000357,2021/10/9 0:00,三年
355,上海乐宠信息科技有限公司,GR202131000358,2021/10/9 0:00,三年
356,上海中研久弋科技有限公司,GR202131000359,2021/10/9 0:00,三年
357,优展新材料（上海）有限公司,GR202131000360,2021/10/9 0:00,三年
358,赞南科技（上海）有限公司,GR202131000361,2021/10/9 0:00,三年
359,上海聚众力信息技术有限公司,GR202131000362,2021/10/9 0:00,三年
360,上海六晶科技股份有限公司,GR202131000363,2021/10/9 0:00,三年
361,上海博灿信号设备有限公司,GR202131000364,2021/10/9 0:00,三年
362,上海简玩网络科技有限公司,GR202131000365,2021/10/9 0:00,三年
363,上海牛元工贸有限公司,GR202131000366,2021/10/9 0:00,三年
364,煦实信息科技（上海）有限公司,GR202131000367,2021/10/9 0:00,三年
